Region,Non-sexual crimes of violence,Sexual offences,Crimes of dishonesty,"Fire-raising, vandalism etc.",Other crimes
Aberdeen City,386,540,9917,3682,3352
Aberdeenshire,158,321,3628,2168,1238
Angus   ,96,123,1721,1173,752
Argyll & Bute ,104,115,1460,930,1212
Clackmannanshire ,69,81,1205,1018,613
Dumfries & Galloway,127,150,2296,1649,1814
Dundee City    ,276,232,4920,2184,2208
East Ayrshire ,211,130,3478,2031,1606
East Dunbartonshire  ,106,67,2128,1016,596
East Lothian,98,95,1940,1057,666
East Renfrewshire  ,93,45,1468,817,528
City Of Edinburgh,1232,829,21132,7634,5379
Eilean Siar ,26,64,299,192,197
Falkirk,183,253,3771,2110,1717
Fife,348,583,9145,4406,3366
Glasgow City ,2322,1385,29900,11604,15791
Highland,407,257,4530,3042,3448
Inverclyde,173,52,2281,1497,1501
Midlothian,122,102,2244,1232,846
Moray,78,158,1880,1005,715
North Ayrshire,290,148,4537,2634,1769
North Lanarkshire  ,659,380,9530,5511,4649
Orkney Islands,17,4,150,145,104
Perth & Kinross  ,140,105,2727,1060,1288
Renfrewshire  ,416,132,6084,2606,2253
Scottish Borders,125,127,1654,1096,842
Shetland Islands,32,30,240,183,189
South Ayrshire,155,138,2731,1438,1052
South Lanarkshire  ,474,241,6922,4424,3789
Stirling,144,158,2719,1225,991
West Dunbartonshire   ,219,109,3196,1772,1882
West Lothian,247,205,4504,2660,1403
